,loss,mse,mae,mape,rmse
222,0.02262064814567566,0.00028941401978954673,0.008279756642878056,2423565.0,0.01701217330992222
223,0.02253228984773159,0.0002755197056103498,0.007919345051050186,2332214.0,0.016598787158727646
224,0.02246098965406418,0.0002905139699578285,0.008457891643047333,2478716.5,0.017044469714164734
225,0.022380372509360313,0.0002789295103866607,0.008032272569835186,2337499.75,0.01670118235051632
226,0.022296493873000145,0.00026017273194156587,0.007393140811473131,2216403.25,0.01612986996769905
227,0.02222219668328762,0.0002670826797839254,0.007643046323210001,2284282.5,0.016342664137482643
228,0.022141389548778534,0.0002650608366820961,0.007700442336499691,2321958.75,0.01628068834543228
229,0.02206101082265377,0.0002662242332007736,0.007694978732615709,2267781.25,0.016316378489136696
230,0.021982206031680107,0.0002707540988922119,0.007912205532193184,2304935.0,0.016454607248306274
231,0.021898455917835236,0.0002615817647892982,0.007630043663084507,2262050.25,0.01617348939180374
232,0.021819092333316803,0.0002625221386551857,0.007636949885636568,2272144.75,0.01620253548026085
233,0.02174890786409378,0.000281577609712258,0.008191789500415325,2376964.25,0.016780273988842964
234,0.021670935675501823,0.00027444877196103334,0.008112214505672455,2404119.5,0.016566496342420578
235,0.021594185382127762,0.00026110580074600875,0.0077230059541761875,2313928.75,0.01615876890718937
236,0.021525802090764046,0.00026526214787736535,0.007774186786264181,2262024.0,0.01628687046468258
237,0.021444929763674736,0.00024804018903523684,0.0072599491104483604,2181971.0,0.015749292448163033
238,0.021371688693761826,0.00025327783077955246,0.007404729258269072,2195148.25,0.015914704650640488
239,0.021302182227373123,0.00026880751829594374,0.007889398373663425,2304844.5,0.01639535091817379
240,0.021227121353149414,0.0002665708016138524,0.007868158631026745,2296525.75,0.016326995566487312
241,0.021153494715690613,0.000260498229181394,0.007699498441070318,2262732.0,0.016139958053827286
242,0.021077435463666916,0.00024878987460397184,0.0073392512276768684,2169677.75,0.015773074701428413
243,0.021007925271987915,0.0002521754940971732,0.007536751683801413,2190749.75,0.015880035236477852
244,0.020939618349075317,0.00025866038049571216,0.0077860173769295216,2311090.0,0.016082921996712685
245,0.020863134413957596,0.00024720514193177223,0.0074017769657075405,2214562.25,0.015722759068012238
246,0.020801270380616188,0.00026472119498066604,0.007859552279114723,2284981.25,0.01627025566995144
247,0.020718421787023544,0.0002389561414020136,0.007172612007707357,2151811.5,0.01545820664614439
248,0.02065010368824005,0.00024531374219805,0.007434522267431021,2238034.0,0.01566249504685402
249,0.020579367876052856,0.0002480741241015494,0.007409346289932728,2165489.75,0.015750369057059288
250,0.020501401275396347,0.00023561494890600443,0.007100053131580353,2129926.75,0.015349754132330418
251,0.020430173724889755,0.00023914682969916612,0.0071691107004880905,2139903.75,0.01546437293291092
252,0.020360374823212624,0.0002462914271745831,0.007364791352301836,2167995.25,0.015693673864006996
253,0.020280884578824043,0.0002329972485313192,0.007016427349299192,2115741.75,0.015264247544109821
254,0.02021653763949871,0.00025128875859081745,0.007629277650266886,2275353.0,0.01585208997130394
255,0.020134732127189636,0.00022946001263335347,0.0069595398381352425,2105048.75,0.015147937461733818
